,Actual,Predicted
335,563.7,446.4446999999998
336,700.5,573.0168999999999
337,456.1,490.3350999999998
338,378.4,435.0478
339,571.7,494.6677000000002
343,615.3,490.1418999999997
344,454.0,563.6592
345,471.4,464.22380000000027
351,502.5,529.5881999999999
353,337.8,440.60669999999965
356,421.4,426.0828000000005
358,468.8,585.7996999999992
359,618.3,576.1796999999996
360,625.6,550.4448000000004
361,538.5,484.83609999999953
363,374.3,430.70319999999964
364,651.0,460.4568
366,428.9,478.64050000000003
367,632.8,445.1023999999998
369,580.0,495.9028000000002
371,441.2,433.1963000000004
373,466.5,458.32120000000003
374,478.6,414.98340000000024
376,385.8,402.6882999999999
379,585.2,523.4511000000005
380,526.1,451.89179999999976
381,575.5,483.6671000000003
382,563.8,605.0926
383,483.7,481.3425000000003
384,549.2,549.8431000000005
385,669.2,611.2269000000033
386,471.5,527.6838000000002
387,371.4,455.46340000000015
389,382.3,428.3682000000002
390,552.3,505.3027999999998
391,534.5,522.6126000000003
392,559.2,443.64809999999983
393,380.8,438.3064999999998
394,473.9,451.9447
395,394.5,442.19980000000027
396,446.9,441.94359999999955
397,376.8,614.3070999999997
398,534.2,436.57870000000105
399,502.0,451.9792000000002
400,407.2,431.4514000000002
401,671.7,732.1954999999996
403,409.3,436.53600000000006
404,417.1,411.77030000000036
406,717.6,523.1553
408,547.5,440.9480999999999
409,490.9,481.0970000000001
411,452.1,551.2571000000003
412,438.8,457.24269999999984
414,467.2,474.6060000000004
416,521.8,424.67200000000014
417,677.0,579.1067999999996
418,643.5,542.2881000000002
419,502.1,563.7174
420,467.4,477.7466999999999
421,485.1,511.9884999999995
423,619.7,448.75539999999984
424,382.3,443.4444999999996
425,446.6,489.66139999999984
426,442.5,492.22019999999986
427,415.8,451.76020000000017
428,438.9,433.61340000000024
431,346.4,419.0846000000003
432,492.9,486.8936000000002
433,543.3,469.6692999999999
434,404.2,434.4608999999998
435,471.3,483.66069999999996
436,382.2,423.1664000000001
437,442.5,422.32210000000026
438,399.2,432.69719999999995
441,377.1,520.3602999999995
442,612.5,636.6589000000001
443,408.1,459.0323
444,503.7,415.1195000000003
445,579.7,505.86249999999984
447,370.3,455.8236000000001
448,460.4,439.5675999999997
449,445.8,419.3624
450,608.2,452.63010000000014
451,502.0,642.7455
455,459.4,435.40780000000024
456,401.3,485.1507999999998
458,354.4,421.6749000000002
459,547.1,447.98420000000056
460,380.2,447.53079999999966
461,531.6,510.04799999999966
462,470.6,442.28249999999986
463,466.6,415.5867999999999
464,552.5,482.5435000000001
468,449.8,487.3211999999999
469,418.7,424.15330000000034
470,462.3,536.1495999999997
471,554.5,531.7617999999998
472,358.1,426.92469999999975
473,456.0,418.92500000000007
474,464.3,418.7642999999997
475,526.5,504.4443999999999
476,426.8,414.87329999999986
477,442.1,457.15659999999997
479,438.6,438.9028999999996
480,551.8,498.6436999999998
481,387.6,462.9935
482,350.1,416.75270000000023
483,427.9,438.1318
484,560.7,531.1077
485,480.6,415.68260000000004
486,376.0,422.7634000000003
488,520.8,436.0532
490,417.0,426.4649999999998
491,441.5,427.45519999999993
493,426.9,432.84440000000035
494,376.1,468.0456999999999
495,414.8,472.13800000000003
496,482.7,483.96669999999995
498,632.6,493.2021000000002
499,791.1,761.910199999999
500,416.2,443.65099999999984
503,501.6,422.2405000000001
505,651.1,602.4582999999994
506,380.6,429.8819000000001
507,548.3,428.5733000000002
509,427.0,419.93900000000036
512,466.1,425.2235000000002
513,380.7,426.68940000000026
514,527.2,587.7458000000003
515,398.5,438.3687000000001
516,381.9,413.3165000000004
518,405.0,434.0474999999999
519,403.8,432.2644999999997
520,450.9,508.5331999999999
523,582.5,518.3201000000005
525,744.7,701.7007000000003
527,492.1,460.5482999999999
528,460.5,412.7427000000002
530,554.2,458.9115999999998
531,601.4,563.7376999999998
532,697.3,629.6383999999994
533,394.8,486.6730999999999
535,474.2,436.07059999999973
536,578.4,450.4429000000004
537,568.8,434.74100000000004
538,385.0,468.9417
539,496.5,488.72400000000016
540,693.1,715.1259999999995
541,412.2,433.02469999999954
542,471.3,439.9220999999996
544,547.0,507.2430000000002
546,589.8,552.1641
548,494.2,489.62419999999986
549,643.8,558.5075999999999
551,540.5,474.6057
552,605.2,649.4637000000005
553,342.2,430.82850000000025
555,397.9,446.7876999999995
556,427.7,434.3962999999997
557,541.9,563.9998999999997
558,396.6,484.40310000000005
559,381.1,417.6940999999999
560,471.4,409.75500000000017
561,466.1,419.62360000000035
562,554.8,579.0224000000002
563,566.8,487.1203
565,739.0,568.1021000000001
569,421.6,460.9933999999997
570,381.6,419.5927000000002
572,472.7,437.9112000000001
575,372.5,450.3842999999995
576,571.4,514.0456999999993
577,337.8,483.88079999999974
580,393.7,441.8403000000001
581,555.4,544.9237999999997
583,396.1,480.68910000000017
584,476.9,464.1847999999999
587,695.7,691.4316000000008
588,411.9,411.5415000000001
589,380.6,414.21780000000047
590,363.4,442.6868999999997
591,528.3,538.4450999999999
593,456.2,474.4817999999997
595,420.8,451.0169999999993
596,354.1,425.61439999999993
597,429.9,457.7173999999999
598,451.5,469.0161000000001
599,465.4,443.1469000000001
600,490.1,481.46340000000026
601,447.4,488.65709999999996
602,463.8,442.8385999999997
603,420.9,575.8071999999986
605,398.1,422.7140999999999
606,385.2,409.83780000000013
607,388.8,418.2596000000002
608,410.8,422.8351
609,440.4,430.5977000000002
611,651.0,590.9747999999995
612,590.1,508.78589999999974
613,392.0,417.41659999999996
615,555.7,443.9775000000001
617,434.0,437.4020999999999
619,437.0,471.7509000000004
620,469.7,525.7293000000006
621,757.2,740.0383000000006
622,417.1,420.6053000000003
624,446.3,407.97150000000016
627,397.9,421.0093
629,397.5,495.9313999999994
631,630.4,477.47439999999983
632,512.7,455.20239999999995
633,403.2,435.2291000000001
635,488.9,419.9552
636,477.7,477.46360000000027
639,549.9,441.03100000000046
640,453.8,419.70930000000004
641,347.2,423.84540000000055
642,474.5,430.17349999999993
643,574.0,579.5698000000002
644,399.0,486.9501999999997
646,436.0,427.1445
647,411.4,452.08570000000054
648,374.7,424.9287
649,565.9,481.6680999999999
651,382.0,414.0651000000003
652,487.3,492.97020000000003
653,445.8,571.1710000000002
654,417.8,422.7022999999999
655,357.7,415.6246000000003
656,615.6,577.0461999999992
658,461.0,441.67189999999965
660,413.6,563.1260000000001
661,459.8,452.6051000000001
662,449.0,520.1909000000006
663,510.7,454.74150000000014
664,492.8,439.0415000000001
665,524.6,445.5435999999997
666,382.8,471.0466999999996
669,600.0,571.9686999999997
670,543.7,447.6514000000001
672,566.1,505.6047999999999
673,380.8,422.8677000000001
674,371.0,457.5128999999998
675,419.0,425.86510000000044
676,538.3,514.2578999999995
677,795.4,773.4592999999995
678,762.3,782.7852999999997
679,368.9,413.9262000000002
681,403.5,441.45920000000007
683,555.0,450.1256999999999
684,441.6,443.04309999999975
685,738.0,697.5760000000006
686,412.4,433.8959999999999
688,410.6,429.42220000000015
692,746.8,629.0566999999994
693,427.3,438.7562
695,441.5,432.42799999999954
696,611.4,544.3545000000007
697,422.2,440.03930000000014
698,381.9,494.01929999999965
701,493.7,435.56520000000006
702,469.4,436.36539999999957
703,349.1,419.37099999999975
704,385.2,441.1999000000005
705,491.3,439.0036999999995
706,382.1,413.30179999999996
707,485.0,513.1696
708,388.4,444.52059999999966
709,661.8,556.0370999999999
711,397.9,467.3455
712,391.6,450.3239000000001
713,760.5,766.6872999999987
715,517.2,490.96130000000005
717,540.9,462.7705000000003
719,573.1,431.5511000000003
720,692.6,555.1570000000004
721,686.4,722.8778000000003
722,429.7,429.8596999999999
723,653.8,633.0310000000001
724,501.1,432.67210000000017
725,471.7,423.1048999999997
729,439.4,414.79350000000017
730,539.2,420.10869999999994
731,618.2,619.8052000000012
732,502.1,647.5332999999993
733,397.0,439.8938000000003
734,493.7,437.6103
735,473.4,505.64659999999986
739,602.9,595.0903000000001
741,378.2,415.66630000000004
742,461.8,422.2651999999999
744,435.0,464.8720000000001
746,714.9,634.7788000000002
749,456.3,465.9576
750,585.4,539.7322999999999
751,585.8,488.5800999999999
752,599.2,453.37200000000036
753,521.0,444.72160000000014
754,483.8,444.4990000000002
755,550.8,480.85749999999985
756,432.5,463.6901999999998
757,586.7,596.1488000000006
758,442.5,431.6416000000002
760,674.4,575.8303999999996
761,367.4,436.1381
763,510.2,472.34589999999986
764,474.1,418.7585
766,478.6,466.77260000000007
767,473.4,490.2514000000003
769,434.0,443.85920000000004
771,366.0,440.2482999999995
772,470.8,548.6169000000002
773,778.7,569.3186000000002
774,724.9,681.5929000000007
775,507.8,485.0894999999998
776,594.2,409.40709999999996
778,417.8,424.51390000000004
779,500.2,432.498
782,618.2,478.0129000000004
783,457.2,454.2855000000001
784,588.8,649.3222000000001
785,519.4,472.4043999999997
786,417.1,413.61060000000003
787,536.9,454.9991
789,390.2,426.2117999999999
791,428.9,480.0834999999995
792,639.9,509.00179999999983
793,572.1,449.8595000000002
794,467.5,424.50420000000025
795,533.1,510.3176999999996
796,591.1,426.42280000000017
797,430.2,426.8764999999999
798,375.1,421.9073
799,476.4,492.6463999999995
800,365.8,441.2717000000005
801,488.3,478.48389999999966
802,446.1,470.46499999999986
803,602.3,453.41219999999976
806,501.1,455.03110000000027
808,537.2,505.7154000000004
809,416.4,437.14
810,393.0,446.92480000000023
812,675.2,453.33230000000015
813,524.2,443.2171000000002
814,723.1,564.5573
816,497.6,450.96160000000015
817,418.7,461.5534
818,436.3,496.69639999999964
820,386.4,406.14500000000015
821,623.4,481.8812999999999
822,492.5,484.9049000000001
825,506.0,429.4287000000002
829,366.0,423.09100000000007
830,450.6,466.5003999999997
831,607.6,463.9009999999999
832,425.1,437.4235999999998
833,414.4,450.25769999999983
838,446.6,414.1924000000002
839,634.4,546.9765999999993
841,498.7,537.1274000000024
843,777.8,689.7647
844,383.7,428.45800000000014
845,548.5,487.1504999999995
846,500.9,466.1850999999996
849,411.0,480.3858000000002
850,516.2,450.85059999999993
851,490.0,489.1646999999996
854,341.1,416.02610000000027
855,849.3,786.056099999998
856,524.2,447.495
857,675.8,710.1438999999997
861,574.6,454.0028999999998
862,449.8,480.29779999999977
864,449.1,445.6588
865,465.8,468.7296999999993
866,500.0,416.8506000000001
868,426.5,453.79280000000006
870,376.7,450.82280000000026
871,471.9,455.5197999999998
872,426.9,490.9824999999995
873,440.7,620.5079000000009
874,407.8,448.7562999999994
875,480.4,494.7486999999994
876,381.4,431.5071
877,421.8,470.9931999999995
878,380.7,421.1059000000001
880,547.3,427.6997999999999
882,392.8,592.6685
883,433.9,455.33439999999933
884,385.6,458.7561999999999
885,380.6,416.97270000000003
886,396.5,415.4889000000001
888,441.4,491.0101999999997
889,455.1,435.8006000000001
890,579.1,426.4381
891,385.4,428.03620000000006
893,423.7,432.00810000000035
894,395.2,408.7135000000006
895,699.5,614.0413999999997
896,612.5,575.5168999999996
897,374.5,430.60930000000025
898,354.1,457.0559999999999
899,393.4,419.8857000000002
900,397.2,435.9435000000001
901,375.4,424.3209000000003
902,353.4,408.12830000000037
903,511.7,548.6036000000005
904,370.1,437.26469999999983
905,861.9,772.2763999999985
906,592.1,570.0490999999997
907,382.0,412.5157999999999
912,459.7,429.4497000000006
913,363.1,418.8149
916,398.5,447.01269999999994
918,490.2,442.4540000000006
919,658.0,522.4643999999998
920,445.3,497.5004999999992
926,498.0,442.81209999999913
928,372.1,416.17520000000013
929,675.0,433.7635000000004
930,468.2,444.88580000000024
931,378.5,453.7726999999996
932,394.2,452.3679999999997
933,457.7,416.2166000000001
934,411.8,416.01329999999984
935,385.9,458.22669999999994
936,346.0,422.4544
938,627.1,495.5015999999999
940,429.8,426.1035000000002
941,481.8,486.2175999999997
942,403.9,421.4223999999999
944,454.7,450.9592999999999
946,639.3,504.55459999999914
947,391.9,557.4098999999999
949,562.1,508.8815999999999
950,602.5,422.33320000000026
951,380.9,421.13339999999994
955,492.2,446.5118999999995
956,527.8,477.07259999999985
957,570.7,603.1141000000001
958,520.6,489.8987999999997
960,523.0,519.4764
961,468.4,454.1186999999998
962,379.5,419.7039999999998
964,415.9,510.60659999999984
965,372.6,420.0688999999999
966,597.8,500.8901999999996
967,514.6,460.64600000000036
969,365.3,442.0371999999996
970,651.5,583.4925999999997
971,439.6,487.12539999999996
972,503.9,489.48589999999973
973,381.0,438.30819999999994
974,508.6,456.47489999999993
975,379.4,457.6108999999999
977,458.3,419.66159999999985
979,439.0,469.1613999999996
980,556.2,492.4497999999998
981,500.9,423.50219999999996
982,372.3,453.72220000000004
984,553.5,602.3974999999999
986,452.9,465.3365
987,521.5,439.8459000000002
988,686.0,638.5112000000003
989,572.0,505.37449999999984
990,445.6,420.43459999999993
992,458.5,415.37670000000026
993,398.8,424.2185999999998
995,448.2,487.2675999999995
996,363.0,441.2397
998,642.5,556.5222000000002
999,478.0,420.1023000000003
1001,524.8,487.7211999999997
1003,807.8,678.9054999999993
1004,404.0,432.7849999999995
1005,433.0,539.3041000000003
1006,693.9,679.2621000000005
1008,577.2,574.5476
1009,401.2,489.9285999999996
1010,402.3,425.19969999999955
1011,533.7,509.83239999999944
1012,618.9,489.1230999999998
1014,450.1,434.9434000000002
1015,402.3,420.67210000000034
1016,463.2,420.08690000000007
1017,406.2,502.33070000000004
1018,395.0,443.85769999999997
1019,375.7,425.91210000000063
1020,597.2,422.4156000000001
1022,583.8,492.29069999999996
1023,567.3,438.94960000000043
1025,479.2,432.25409999999977
1030,421.4,414.7559000000003
1031,445.3,452.2026999999999
1032,439.1,418.2466000000002
1033,464.4,422.9318000000002
1034,881.9,770.2662000000007
1035,358.4,421.35420000000045
1036,393.8,424.18760000000026
1037,497.9,441.5855000000002
1038,398.3,473.57110000000034
1040,498.1,524.4699000000006
1042,351.0,417.4042999999998
1043,536.7,460.69550000000004
1044,508.2,498.72530000000006
1046,441.3,504.04990000000026
1047,413.1,484.12710000000015
1050,568.4,467.82230000000015
1051,427.7,440.33619999999974
1052,398.4,419.44999999999993
1053,396.7,516.0244000000002
1059,450.2,430.3456000000003
1060,421.3,432.5132
1063,520.8,450.02669999999966
1064,396.6,472.23520000000025
1066,614.4,657.3090000000003
1068,459.1,456.0240000000001
1069,780.3,688.5280999999998
1070,575.8,582.5316999999999
1071,419.9,464.58079999999984
1072,369.3,418.36870000000033
1074,467.8,435.9786999999997
1075,621.2,503.83969999999977
1076,552.8,550.9921999999999
1077,580.2,478.49299999999977
1079,406.8,438.2207000000002
1080,407.8,415.0909
1081,686.4,683.136600000001
1083,587.8,463.6588999999999
1085,489.8,500.1045999999994
1087,414.9,439.7486999999998
1089,484.9,458.9518000000002
1091,595.4,585.6512
1093,545.3,460.4894999999998
1094,342.5,428.5928999999998
1095,503.8,547.2687
1096,563.0,419.5680999999996
1097,409.0,431.7328000000001
1098,375.8,431.56300000000016
1101,510.6,454.0123
1103,455.7,520.7862000000002
1104,537.7,613.8974000000004
1105,427.4,416.7808000000001
1106,508.1,437.6774000000007
1107,441.7,434.54590000000013
1108,662.2,662.7459000000007
1109,400.7,437.9026999999995
1110,429.5,531.6964000000003
1111,440.7,446.94269999999995
1112,490.1,426.9225000000002
1114,640.6,493.32100000000014
1115,415.0,422.3917000000003
1116,515.8,532.8680000000003
1117,379.7,400.7720000000004
1118,483.5,423.24040000000025
1121,375.3,427.7855999999999
1122,348.7,433.50969999999984
1124,608.0,490.0382999999997
1125,411.5,422.88309999999973
1127,621.1,565.8492000000007
1128,389.2,439.12649999999945
1129,439.5,443.1609000000001
1130,403.0,480.60909999999967
1131,492.4,430.03590000000037
1132,485.5,443.67919999999964
1135,370.2,413.71240000000057
1136,425.8,450.0017999999997
1137,604.7,481.92410000000024
1138,457.7,457.2101000000001
1139,483.8,458.64560000000006
1140,542.3,647.7265999999996
1141,383.9,420.2359999999999
1144,496.5,474.3250000000004
1145,404.9,417.58389999999997
1147,408.8,438.69499999999977
1149,505.0,524.4656000000001
1150,480.2,442.36430000000024
1152,484.1,476.9029000000003
1155,571.1,487.12729999999976
1156,636.9,605.4702999999997
1157,381.0,457.08939999999996
1158,326.7,411.02660000000014
1159,390.1,449.8885000000002
1161,369.6,432.28429999999975
1162,406.2,415.97580000000016
1164,440.5,442.06139999999965
1167,463.9,413.7830000000001
1168,554.1,506.76669999999984
1169,527.4,508.85749999999956
1172,647.1,482.96860000000015
1173,419.0,419.4574000000002
1174,352.9,423.4869000000004
1175,409.0,422.1890000000006
1176,410.7,446.8875999999999
1177,605.3,506.30609999999973
1178,476.9,494.9064
1180,424.8,416.30489999999986
1181,461.1,508.0310000000009
1182,367.7,434.04780000000017
1183,412.1,432.50839999999965
1184,435.3,418.6228000000002
1185,400.3,445.1824999999996
1186,418.9,508.2459999999998
1187,661.3,440.58620000000036
1188,419.6,511.46050000000065
1189,483.4,491.74939999999975
1191,383.4,550.8802
1192,528.4,517.3420999999995
1195,481.4,458.2670000000001
1198,399.2,445.6424000000004
1201,430.6,481.99820000000045
1203,575.8,459.0105999999996
1204,467.2,518.4823000000006
1205,457.6,432.0459000000001
1206,676.9,615.7812999999998
1208,511.1,446.0517999999997
1209,503.7,428.5264000000004
1210,468.4,422.0751999999997
1211,401.6,415.0278000000003
1212,606.4,590.2948999999999
1213,580.3,574.9142999999999
1214,408.6,443.6334999999996
1215,412.7,455.5186000000001
1216,539.3,484.7014999999994
1217,338.1,414.06130000000036
1218,397.5,421.2553000000002
1219,562.1,446.1273999999996
1222,578.8,434.9440999999997
1223,478.4,495.01659999999987
1224,615.1,607.3921
1225,366.6,432.4975
1226,535.4,476.11679999999984
1230,460.8,507.3581999999996
1231,389.9,428.6181999999999
1232,528.5,497.32289999999955
1233,491.1,505.65399999999954
1235,729.2,611.4298000000018
1236,657.5,589.1623999999998
1237,404.2,424.7425999999999
1238,573.2,554.5858000000002
1240,355.4,440.7265999999999
1242,432.6,439.9823999999998
1243,396.1,428.5254999999998
1244,549.4,504.10529999999983
1245,495.1,435.49449999999985
1247,479.2,479.23430000000013
1248,469.5,415.67799999999994
1250,413.2,488.8296000000001
1251,509.1,468.27750000000003
1254,673.5,594.7592
1255,666.1,658.7644
1256,408.3,422.36590000000007
1260,449.4,417.63089999999977
1261,485.1,417.75600000000037
1262,669.1,448.4790999999998
1264,446.7,494.2689
1265,361.6,529.3578000000007
1266,684.8,674.3061000000002
1267,425.3,526.7508999999997
1268,389.8,420.46770000000026
1271,457.2,483.67470000000054
1272,382.7,427.95430000000005
1273,542.9,458.2666999999999
1274,368.0,434.7632999999998
1275,582.2,436.8370999999999
1276,643.6,594.7687999999999
1282,444.1,421.84430000000003
1283,468.9,423.34320000000014
1284,429.2,451.38999999999993
1285,461.7,427.1725000000004
1286,391.6,409.68419999999975
1287,457.3,460.8931999999996
1288,386.4,488.4436999999999
1290,611.4,485.9479
1291,378.4,415.5433999999998
1292,364.9,441.4778000000001
1293,649.6,503.02740000000006
1294,462.1,419.0485999999999
1297,373.7,420.4554000000003
1298,565.7,485.10479999999967
1299,800.1,684.8914000000002
1300,396.4,418.4745000000001
1301,446.9,441.01550000000026
1303,532.3,469.56229999999977
1306,425.5,467.30039999999997
1307,340.9,419.2336000000006
1308,798.4,689.0075999999998
1309,545.8,444.1145999999999
1314,409.0,415.6649000000001
1315,688.7,656.6752000000008
1316,373.1,461.8655000000002
1317,395.5,418.2682000000002
1319,525.5,493.89500000000004
1320,537.1,449.0629
1321,398.5,450.8870000000003
1323,575.4,463.24929999999983
1325,348.7,413.9463000000003
1326,419.5,433.8297999999997
1327,577.1,512.6538999999997
1329,440.5,423.7513999999999
1330,393.6,415.4461000000001
1331,377.6,428.82250000000045
1332,413.3,426.97659999999934
1334,465.8,429.7736
1335,475.0,408.4867000000003
1336,375.7,419.1645000000003
1338,593.8,468.94839999999976
1339,427.9,491.44359999999995
1340,396.1,458.66840000000025
1341,393.4,425.6374
1343,426.8,421.91519999999986
1345,419.1,429.5577000000003
1346,474.9,648.7595
1347,504.2,435.58709999999985
1349,558.9,518.6292999999997
1351,499.9,430.37630000000024
1352,357.7,441.1409999999997
1353,445.9,453.13849999999945
1354,360.2,435.18569999999977
1355,576.3,529.3894999999999
1356,419.0,428.9339000000002
1359,371.8,449.2304000000001
1360,487.1,508.4352000000006
1361,473.7,436.33060000000023
1363,444.1,445.33439999999973
1366,568.0,465.43299999999977
1367,538.2,536.2803999999998
1370,499.1,476.44530000000054
1373,482.5,441.2098999999999
1374,479.7,501.0381000000002
1375,540.4,426.38670000000013
1376,645.8,574.5471999999996
1377,502.9,451.98789999999985
1379,621.5,501.83949999999976
1380,420.3,453.01759999999985
1381,416.5,415.75800000000027
1382,705.1,712.1522999999997
1383,521.6,419.9432
1384,403.5,422.0760000000001
1385,651.8,646.3690999999995
1386,364.7,480.5215000000004
1387,408.9,521.6561000000003
1388,460.9,479.4629000000003
1389,406.9,422.19420000000014
1390,545.8,446.4796999999999
1391,670.3,570.4771999999994
1393,460.9,434.5013
1396,619.2,569.8712000000012
1397,404.6,445.4018999999998
1398,517.2,473.3646
1400,508.2,488.9011
1404,463.4,443.97170000000006
